prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";"Choix 7";"Choix 8";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Pierre;Mary;PierreMary@cy-tech.fr;15;10,831;"VISUA ";"INEM ";"BI ";"IAC ";"CS ";"IAP ";"HPDA ";ICC;Nvdg17;Pierre.Mary;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;VISUA;
Michelle;Guibert;MichelleGuibert@cy-tech.fr;15;10,758;"VISUA ";"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;FUW7Xy;Michelle.Guibert;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;VISUA;
Marguerite;de;Margueritede@cy-tech.fr;15;10,367;"IAC ";"CS ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;L8txnF;Marguerite.de;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAC;
Victor;Vasseur;VictorVasseur@cy-tech.fr;15;10,337;"VISUA ";"CS ";"INEM ";"IAC ";"BI ";"ICC ";"IAP ";HPDA;5suIdB;Victor.Vasseur;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;VISUA;
Simone-Gabrielle;Bonnet;Simone-GabrielleBonnet@cy-tech.fr;15;10,301;"HPDA ";"IAP ";"ICC ";"BI ";"VISUA ";"CS ";"IAC ";INEM;_K06I5;Simone-Gabrielle.Bonnet;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;HPDA;
Adrien-Xavier;Menard;Adrien-XavierMenard@cy-tech.fr;15;10,291;"ICC ";"IAC ";"BI ";"CS ";"IAP ";"HPDA ";"INEM ";VISUA;-TLPxo;Adrien-Xavier.Menard;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;ICC;
Marcel;Carlier;MarcelCarlier@cy-tech.fr;15;10,29;"INEM ";"CS ";"VISUA ";"IAC ";"IAP ";"ICC ";"BI ";HPDA;m!B5mK;Marcel.Carlier;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;INEM;
Zacharie;Muller;ZacharieMuller@cy-tech.fr;15;10,147;"VISUA ";"BI ";"IAC ";"IAP ";"ICC ";"INEM ";"CS ";HPDA;Tu6ZT5;Zacharie.Muller;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;VISUA;
Andrée;Mendes;AndréeMendes@cy-tech.fr;15;10,068;"VISUA ";"INEM ";"CS ";"BI ";"IAC ";"IAP ";"HPDA ";ICC;m@7hFc;Andrée.Mendes;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;VISUA;
Auguste;Clerc-Maillard;AugusteClerc-Maillard@cy-tech.fr;15;8,952;"HPDA ";"CS ";"IAC ";"BI ";"IAP ";"VISUA ";"ICC ";INEM;Ep-RHe;Auguste.Clerc-Maillard;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;HPDA;
Léon;Maillard;LéonMaillard@cy-tech.fr;15;8,768;"VISUA ";"BI ";"INEM ";"IAC ";"CS ";"IAP ";"ICC ";HPDA;FsBOtM;Léon.Maillard;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;VISUA;
Jeanne;Poulain;JeannePoulain@cy-tech.fr;30;13,411;"BI ";"IAC ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;ZLl@dt;Jeanne.Poulain;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;BI;
François;Thomas;FrançoisThomas@cy-tech.fr;30;12,628;"BI ";"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";"ICC ";IAP;tAabXJ;François.Thomas;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;BI;
André;Bouvier;AndréBouvier@cy-tech.fr;30;12,333;"BI ";"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;u7lzGm;André.Bouvier;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;BI;
Monique;Lecomte;MoniqueLecomte@cy-tech.fr;15;13,528;"BI ";"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";IAP;gZTIGV;Monique.Lecomte;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;BI;
Gérard;Dufour;GérardDufour@cy-tech.fr;15;13,036;"BI ";"CS ";"IAC ";"ICC ";"VISUA ";"HPDA ";"INEM ";IAP;BZ_jH@;Gérard.Dufour;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;BI;
William;Andre;WilliamAndre@cy-tech.fr;15;12,897;"BI ";"CS ";"VISUA ";"IAC ";"INEM ";"ICC ";"IAP ";HPDA;Nu6HC@;William.Andre;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;BI;
Gabriel;Blanchet;GabrielBlanchet@cy-tech.fr;15;12,597;"BI ";"IAC ";"ICC ";"CS ";"HPDA ";"IAP ";"INEM ";VISUA;Tsxg4P;Gabriel.Blanchet;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;BI;
Frédérique;Maillot-Guyot;FrédériqueMaillot-Guyot@cy-tech.fr;15;11,851;"BI ";"INEM ";"IAC ";"HPDA ";"IAP ";"VISUA ";"CS ";ICC;RHdMy7;Frédérique.Maillot-Guyot;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;BI;
Gilbert;Deschamps;GilbertDeschamps@cy-tech.fr;15;11,51;"IAP ";"HPDA ";"ICC ";"IAC ";"VISUA ";"INEM ";"CS ";BI;xYaFx_;Gilbert.Deschamps;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;ICC;
Élisabeth;Blondel;ÉlisabethBlondel@cy-tech.fr;15;11,261;"IAP ";"IAC ";"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";BI;@Mk6df;Élisabeth.Blondel;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;VISUA;
Henriette-Marthe;Tanguy;Henriette-MartheTanguy@cy-tech.fr;15;10,95;"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;7-NL0h;Henriette-Marthe.Tanguy;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;CS;
Daniel;Guillon;DanielGuillon@cy-tech.fr;15;10,726;"BI ";"INEM ";"IAC ";"ICC ";"CS ";"IAP ";"HPDA ";VISUA;EgOROw;Daniel.Guillon;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;BI;
Claude;Gimenez;ClaudeGimenez@cy-tech.fr;15;10,602;"CS ";"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;yzmf4l;Claude.Gimenez;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Victor;Hubert;VictorHubert@cy-tech.fr;15;10,576;"CS ";"ICC ";"HPDA ";"BI ";"IAC ";"IAP ";"VISUA ";INEM;vo8kLe;Victor.Hubert;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;CS;
Astrid;Fischer;AstridFischer@cy-tech.fr;15;10,427;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"VISUA ";BI;WBpwgF;Astrid.Fischer;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
Philippe;De;PhilippeDe@cy-tech.fr;15;9,523;"BI ";"INEM ";"VISUA ";"CS ";"IAC ";"IAP ";"ICC ";HPDA;q1i!JF;Philippe.De;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;BI;
Éric;Rousset;ÉricRousset@cy-tech.fr;15;9,459;"CS ";"IAC ";"BI ";"IAP ";"ICC ";"VISUA ";"INEM ";HPDA;d6c@4@;Éric.Rousset;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;CS;
Océane;Gauthier;OcéaneGauthier@cy-tech.fr;0;0;"IAP ";"HPDA ";"BI ";"IAC ";"VISUA ";"CS ";"ICC ";INEM;L5He@K;Océane.Gauthier;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;BI;
Jules;Cohen;JulesCohen@cy-tech.fr;0;0;"IAC ";"VISUA ";"BI ";"CS ";"INEM ";"IAP ";"HPDA ";ICC;V8eqel;Jules.Cohen;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAC;
Patrick;Morin;PatrickMorin@cy-tech.fr;15;10,731;"BI ";"CS ";"IAC ";"ICC ";"IAP ";"INEM ";"VISUA ";HPDA;D6buZF;Patrick.Morin;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;BI;
Augustin;David-Rey;AugustinDavid-Rey@cy-tech.fr;15;9,891;"CS ";"IAP ";"IAC ";"INEM ";"ICC ";"BI ";"HPDA ";VISUA;_n@e9Y;Augustin.David-Rey;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;CS;
Dorothée;Albert;DorothéeAlbert@cy-tech.fr;15;9,291;"CS ";"BI ";"INEM ";"IAC ";"VISUA ";"HPDA ";"ICC ";IAP;eNJaSr;Dorothée.Albert;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
Édouard;Leconte;ÉdouardLeconte@cy-tech.fr;15;9,007;"IAC ";"CS ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;yBqLY5;Édouard.Leconte;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAC;
Dominique;Leclerc;DominiqueLeclerc@cy-tech.fr;0;0;"CS ";"INEM ";"ICC ";"IAP ";"IAC ";"VISUA ";"HPDA ";BI;pD7-I0;Dominique.Leclerc;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
René;Picard;RenéPicard@cy-tech.fr;0;0;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";"HPDA ";CS;5QLU7i;René.Picard;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;IAC;
Jules;Arnaud;JulesArnaud@cy-tech.fr;0;0;"IAP ";"IAC ";"ICC ";"BI ";"HPDA ";"VISUA ";"CS ";INEM;1ry!fs;Jules.Arnaud;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;ICC;
Raymond-Édouard;Coulon;Raymond-ÉdouardCoulon@cy-tech.fr;15;1,475;"CS ";"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";"HPDA ";INEM;P@-hRn;Raymond-Édouard.Coulon;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;CS;
Joséphine;Martin;JoséphineMartin@cy-tech.fr;0;0;"IAC ";"CS ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;_elCj4;Joséphine.Martin;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Nath;du;Nathdu@cy-tech.fr;0;0;"CS ";"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";"ICC ";BI;M-kaGD;Nath.du;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;CS;
Anouk;Fournier;AnoukFournier@cy-tech.fr;0;0;"CS ";"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;yRjhnB;Anouk.Fournier;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;CS;
